State,abbr,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1995,1990,Rate2018,Rank2018,Rate2017,Rank2017,Rate2016,Rank2016,Rate2015,Rank2015,Rate2014,Rank2014,Rate2013,Rank2013,Rate2012,Rank2012,Rate2011,Rank2011,Rate2010,Rank2010,Rate2009,Rank2009,Rate2008,Rank2008,Rate2007,Rank2007,Rate2006,Rank2006,Rate2005,Rank2005,Rate2004,Rank2004,Rate2003,Rank2003,Rate2002,Rank2002,Rate2001,Rank2001,Rate2000,Rank2000
South Carolina,SC,2.5,2.6,2.5,2.8,2.9,3.2,3.2,3.2,3.1,3,2.8,3,2.9,2.9,3.2,3.3,3.4,3.6,3.8,3.8,3.9,4.5,3.5,19,4.3,27,5,29,6,38,6.5,33,7.6,34,9.2,45,10.6,48,11.2,47,11.2,47,6.8,48,5.7,48,6.4,48,6.7,47,6.8,47,6.9,47,5.8,34,5.2,39,3.8,26
South Dakota,SD,2.6,2.7,2.8,2.6,2.8,2.9,3,3.3,3.4,3.3,3.1,3.1,3.2,2.8,3.1,3,3.3,3.3,3.5,3.7,3.9,3.7,3.1,12,3.2,8,3,2,3.1,3,3.4,3,3.8,2,4.3,3,4.7,3,5,3,4.9,3,3.1,1,2.8,2,3.1,3,3.8,8,3.7,3,3.5,1,3.2,1,3.1,2,2.5,3
Tennessee,TN,3.5,3.5,3.8,3.7,3.8,4.1,4.2,4.3,4.2,3.9,4.2,4.3,4.6,4.6,4.9,5,5.1,5.2,5.9,5.8,6.2,6.5,3.5,19,3.8,20,4.7,24,5.6,32,6.6,35,7.8,38,7.8,29,9,33,9.7,34,10.5,43,6.6,44,4.7,34,5.2,42,5.6,40,5.3,27,5.6,23,5.2,20,4.6,26,3.9,27
Texas,TX,2.6,2.2,2.6,2.6,2.7,2.9,3,3.2,3.3,3.3,3.3,3.3,3.4,3.3,3.6,3.8,3.9,4,4,3.8,5.2,5.5,3.8,25,4.3,27,4.6,22,4.4,15,5.1,16,6.3,16,6.7,15,7.8,20,8.1,18,7.6,18,4.8,16,4.3,22,4.9,35,5.4,36,5.9,39,6.7,43,6.4,43,5,34,4.3,36
Utah,UT,3.8,3.4,3.6,3.6,3.1,3.1,3.3,3.7,3.7,3.7,3.8,3.7,3.9,4.1,4.1,4,4.1,4.2,4.3,4,4.4,5.1,3,9,3.3,10,3.4,8,3.6,5,3.8,4,4.6,5,5.4,8,6.7,12,7.8,15,7.3,15,3.6,5,2.6,1,3,2,4.1,11,5,21,5.6,23,5.8,34,4.4,22,3.3,14
Vermont,VT,3.1,2.9,3.1,3.1,3.5,3.5,3.5,3.6,3.8,3.5,3.6,3.6,3.8,3.6,3.9,4,4.2,4.3,4.1,4.4,4.7,4.5,2.5,1,2.9,5,3.2,6,3.6,5,3.9,5,4.4,4,5,4,5.5,5,6.1,6,6.6,8,4.7,15,4,17,3.7,13,3.5,3,3.7,3,4.3,6,4,4,3.3,6,2.8,7
Virginia,VA,3.1,3,3.4,3.3,3.5,3.6,3.7,3.8,3.8,3.7,3.8,3.8,4,4,3.9,4,4.2,4.2,4.3,4.4,4.3,4.4,3,9,3.7,16,4.1,17,4.5,18,5.2,17,5.7,14,6.1,14,6.6,11,7.1,10,6.7,9,3.9,7,3,5,3.1,3,3.6,4,3.8,5,4.1,4,4.2,8,3.2,5,2.3,1
Washington,WA,3.3,3.4,3.5,3.4,3.6,3.8,3.9,4.1,4.2,3.9,3.9,4,4.1,4.3,4.3,4.4,4.6,4.5,4.6,5,5.4,5.9,4.5,43,4.7,35,5.3,37,5.6,32,6.1,27,7,27,8.1,33,9.3,35,10,35,9.2,32,5.4,25,4.7,34,5,40,5.6,40,6.3,45,7.4,49,7.4,50,6.3,48,5.2,46
West Virginia,WV,3.3,3.5,3.8,4,4.2,4.6,4.7,5.2,5.1,5.1,4.8,5.1,5,5.1,5,5.2,5.2,5.2,5.1,4.9,5.2,5.3,5.2,49,5.2,48,6.1,47,6.7,49,6.6,35,6.8,24,7.5,26,8.1,25,8.7,26,7.7,19,4.3,11,4.6,29,4.9,35,5.1,31,5.3,27,6,34,5.9,37,5,34,5.5,49
Wisconsin,WI,2.5,2.4,2.6,2.6,2.7,2.8,2.9,2.9,3,2.9,3,2.9,3,2.9,3,3.1,3.2,3.2,3.2,3.2,3.4,3.6,3,9,3.3,10,4,14,4.5,18,5.4,18,6.7,19,7,18,7.8,20,8.7,26,8.6,29,4.9,18,4.9,38,4.7,30,4.7,21,5,21,5.7,27,5.4,23,4.5,23,3.5,16
Wyoming,WY,3.8,4,4.2,4.1,4.6,4.3,4.4,4.8,5.1,5.1,4.9,4.9,5.1,5.2,5.2,5.4,5.4,5.8,5.8,5.7,6.6,6.6,3.9,27,4.2,23,5.3,37,4.3,14,4.1,6,4.7,6,5.3,7,5.8,7,6.4,7,6.3,5,3.1,1,2.8,2,3.2,6,3.6,4,3.8,5,4.3,6,4,4,3.8,12,3.9,27
